"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"G003","line.cedars",1,1,"carolinensis","m",53.6,1,3,5.83,3.286,5.533,8.302,8.27,10.479,4.279,2.222,6.368,5.606,8.472,5.607,27.6,1.522,2.893,14.432,12.91,10.017,4.724,5.704,10.801,2.305,7.693,8.436,8.436,4.182,14.936,13.582,10.869,5.166
"G004","line.cedars",1,1,"carolinensis","m",57.08,1,3.4,6.09,3.451,5.499,8.655,8.66,10.846,4.566,2.251,6.558,5.771,8.883,5.69,28.451,1.869,3.281,15.506,13.637,10.356,5.193,5.584,11.064,2.516,7.778,8.789,8.947,4.537,15.987,14.352,11.25,5.667
"G007","line.cedars",1,1,"carolinensis","m",55.43,1,3.2,5.93,3.28,5.354,8.393,8.566,10.959,4.856,2.265,6.567,5.61,8.631,5.873,27.986,1.737,3.294,15.952,14.215,10.921,5.581,5.766,11.36,2.281,7.476,8.905,8.786,4.563,16.384,14.878,11.794,6.029
"G008","line.cedars",1,1,"carolinensis","f",44.97,1,1.9,6.05,2.753,4.699,7.052,7.007,8.927,4.228,2.096,5.073,4.738,7,4.7,23.431,0.883,2.441,11.3,10.418,7.977,3.883,4.328,8.443,2.284,5.171,6.683,6.764,3.878,11.592,10.953,8.649,4.34
"G010","line.cedars",1,1,"carolinensis","f",44.9,1,2.2,4.95,2.597,4.294,6.577,6.575,8.742,4.426,1.778,4.93,4.292,7.087,5.045,22.21,1.061,2.624,11.715,10.654,8.03,3.982,4.344,8.54,2.111,5.493,6.859,7.024,3.71,12.033,11.218,8.732,4.393
"G011","line.cedars",1,1,"carolinensis","m",55.02,1,3.6,6.28,3.471,5.41,8.664,8.566,10.672,4.886,2.461,6.555,5.727,8.763,6.787,28.217,1.816,3.271,14.723,12.907,9.636,4.614,5.531,10.511,2.155,7.481,8.889,8.692,4.255,15.191,13.619,10.612,5.081
"G016","line.cedars",1,1,"carolinensis","f",46.54,1,2.2,4.89,2.824,4.591,7.152,7.196,9.126,4.537,1.742,5.132,4.547,7.196,5.373,23.693,1.366,2.508,11.928,10.562,8.054,3.988,4.35,8.996,2.252,5.788,6.905,6.83,3.812,12.274,11.101,8.763,4.421
"G017","hornet",0,0,"carolinensis","m",60.22,1,3.8,5.93,3.463,5.466,8.91,9.221,10.88,5.133,2.378,6.637,5.994,9.151,5.969,28.719,1.885,3.615,16.706,14.821,11.206,5.98,5.618,11.413,2.231,7.892,9.047,8.976,4.927,17.166,15.485,12.085,6.468
"G018","hornet",0,0,"carolinensis","m",52.43,1,2.4,4.89,3.301,5.572,8.383,8.199,10.096,4.344,2.144,6.504,5.64,8.374,5.196,27.352,0.811,2.946,13.604,12.794,9.848,5.03,5.101,9.721,2.159,6.132,7.601,7.646,4.247,13.945,13.353,10.556,5.46
"G019","hornet",0,0,"carolinensis","m",46.4,1,1.9,5.16,3.203,4.918,8.087,7.852,9.966,4.431,2.07,5.999,5.224,7.552,5.21,26.174,0.914,2.62,12.743,11.829,9.21,4.572,4.891,9.047,2.089,5.448,6.916,7.03,3.809,13.031,12.341,9.838,4.953
