"island","presence","sex","svl","Mass"
"hornet",0,"m",60.22,3.8
"hornet",0,"m",52.43,2.4
"hornet",0,"m",46.4,1.9
"hornet",0,"m",56.66,3.2
"hornet",0,"f",47.15,2.1
"hornet",0,"m",55.39,3
"hornet",0,"m",54.39,2.8
"hornet",0,"f",47.38,1.9
"hornet",0,"m",52.84,2.6
"yin",1,"f",46.69,1.9
"osprey",0,"m",57.3,2.8
"osprey",0,"m",54.84,2.9
"osprey",0,"m",48.11,1.7
"osprey",0,"f",48.47,2.1
"osprey",0,"m",56.65,2.6
"yang",1,"m",58.29,3.5
"yang",1,"m",50.39,2.2
"crescent",0,"m",59.94,3.8
"crescent",0,"m",58.8,4.3
"crescent",0,"f",47.49,2.1
"crescent",0,"m",58.26,3.8
"crescent",0,"f",46.27,2
"crescent",0,"f",47.82,2
"n.twin",1,"f",49.97,2.5
"n.twin",1,"m",58.39,3.7
"n.twin",1,"m",55.18,2.9
"n.twin",1,"m",56.36,3.3
"n.twin",1,"m",57.24,3
"n.twin",1,"f",47.94,1.7
"yin",1,"m",57.29,3.7
"yin",1,"m",57.48,3.4
"yin",1,"m",58.04,3.6
"lizard",1,"m",58.95,3.2
"lizard",1,"m",57,3.2
"hook",1,"m",57.6,3.3
"hook",1,"m",58.03,3.3
"hook",1,"f",58.58,2.1
"s.twin",0,"m",57.38,2.8
"s.twin",0,"f",45.94,1.6
"s.twin",0,"m",50.3,2.1
"s.twin",0,"f",44.27,1.3
"s.twin",0,"m",57.52,2.9
"s.twin",0,"m",56.89,3.2
"s.twin",0,"f",47.29,1.7
"hornet",0,"f",45.28,1.3
"hornet",0,"m",56.34,3
"hornet",0,"m",59.82,3.8
"hornet",0,"f",49.89,2.3
"hornet",0,"m",61.05,3.9
"hornet",0,"m",55.12,2.7
"hornet",0,"m",55.02,2.8
"hornet",0,"m",57.63,3.4
"yang",1,"m",53.28,2.6
"yang",1,"m",50.54,2.1
"yang",1,"m",57.62,3.3
"yang",1,"m",59.42,4.1
"yang",1,"f",45.68,1.9
"osprey",0,"m",54.81,2.8
"osprey",0,"f",47.88,1.9
"osprey",0,"m",55.59,2.6
"crescent",0,"f",46.08,1.8
