"island","presence","sex","svl","Jaw.length","Width","Height","Outlever","Open.inlever","Close.inlever","Head.length"
"hornet",0,"m",60.22,17.166,8.976,5.93,14.821,1.885,3.615,11.413
"hornet",0,"m",52.43,13.945,7.646,4.89,12.794,0.811,2.946,9.721
"hornet",0,"m",46.4,13.031,7.03,5.16,11.829,0.914,2.62,9.047
"hornet",0,"m",56.66,15.486,8.045,6.31,13.76,1.34,3.469,10.726
"hornet",0,"f",47.15,11.802,6.698,4.84,10.372,1.098,2.319,8.774
"hornet",0,"m",55.39,15.529,8.575,5.84,13.532,1.424,3.465,10.198
"hornet",0,"m",54.39,15.524,8.511,6.02,13.316,1.75,3.363,10.434
"hornet",0,"f",47.38,11.548,6.746,4.49,10.389,0.831,2.299,8.352
"hornet",0,"m",52.84,14.295,8.025,5.3,12.511,1.372,3.153,9.108
"yin",1,"f",46.69,11.707,6.662,4.99,10.663,0.775,2.665,8.559
"osprey",0,"m",57.3,16.862,8.611,5.69,14.683,1.787,3.383,11.501
"osprey",0,"m",54.84,16.461,8.28,5.58,14.563,1.518,3.384,11.138
"osprey",0,"m",48.11,13.154,7.004,4.84,11.784,1.076,2.76,9.83
"osprey",0,"f",48.47,12.628,7.257,4.73,11.468,0.814,2.502,9.018
"osprey",0,"m",56.65,16.248,8.283,5.74,14.243,1.616,3.368,11.113
"yang",1,"m",58.29,16.731,8.663,6.32,14.936,1.437,3.416,11.778
"yang",1,"m",50.39,13.897,7.765,5.2,12.428,1.175,2.629,9.35
"crescent",0,"m",59.94,17.661,8.779,6.3,15.374,1.871,3.396,12.012
"crescent",0,"m",58.8,17.109,9.323,6.33,14.829,1.799,3.539,10.859
"crescent",0,"f",47.49,12.717,7.092,4.8,11.027,1.298,2.583,8.777
"crescent",0,"m",58.26,17.319,9.351,6.18,15.268,1.598,3.697,11.332
"crescent",0,"f",46.27,11.845,7.171,4.68,9.939,1.421,2.254,7.632
"crescent",0,"f",47.82,11.663,6.756,4.46,10.195,1.084,2.293,7.84
"n.twin",1,"f",49.97,12.654,7.392,5.17,11.08,1.131,2.736,9.505
"n.twin",1,"m",58.39,16.734,8.457,5.95,14.661,1.708,3.756,11.284
"n.twin",1,"m",55.18,16.756,8.419,5.81,14.694,1.666,3.665,11.794
"n.twin",1,"m",56.36,17.49,8.664,5.84,15.399,1.69,3.751,12.046
"n.twin",1,"m",57.24,16.973,8.395,5.99,14.973,1.655,3.505,11.178
"n.twin",1,"f",47.94,12.613,6.783,4.76,11.315,1.038,2.383,8.459
"yin",1,"m",57.29,16.574,9.032,6.32,14.427,1.699,3.462,11.269
"yin",1,"m",57.48,16.333,8.957,6.14,14.243,1.627,3.238,11.149
"yin",1,"m",58.04,17.382,9.185,6.45,15.223,1.717,3.568,12.165
"lizard",1,"m",58.95,17.778,8.741,6.19,15.633,1.746,4.146,12.402
"lizard",1,"m",57,16.843,8.74,6.01,14.701,1.679,3.345,11.467
"hook",1,"m",57.6,16.709,8.765,6.11,14.475,1.808,3.458,12.137
"hook",1,"m",58.03,16.554,8.794,5.72,14.544,1.551,3.523,11.473
"hook",1,"f",58.58,11.981,7.211,4.68,10.615,0.923,2.477,8.869
"s.twin",0,"m",57.38,17.051,8.535,5.97,15.016,1.643,3.677,11.659
"s.twin",0,"f",45.94,11.648,6.603,4.64,10.565,0.806,2.39,9.007
"s.twin",0,"m",50.3,13.713,7.678,5.15,12.131,1.221,2.934,9.24
"s.twin",0,"f",44.27,11.414,6.688,4.36,10.118,1.025,2.515,8.374
"s.twin",0,"m",57.52,16.747,8.87,6.03,14.851,1.538,3.6,11.001
"s.twin",0,"m",56.89,17.074,8.926,5.85,15.238,1.372,3.679,11.672
"s.twin",0,"f",47.29,12.108,7.195,4.58,10.555,1.237,2.279,8.368
"hornet",0,"f",45.28,12.472,6.99,4.34,10.822,1.308,2.494,8.527
"hornet",0,"m",56.34,16.327,8.556,5.99,14.368,1.551,3.735,10.932
"hornet",0,"m",59.82,17.18,8.85,6.38,14.861,1.901,3.81,11.1
"hornet",0,"f",49.89,11.732,6.757,4.65,10.236,1.104,2.402,8.413
"hornet",0,"m",61.05,17.522,9.335,5.99,15.147,1.855,3.953,12.386
"hornet",0,"m",55.12,15.704,8.301,5.37,13.79,1.507,3.435,11.222
"hornet",0,"m",55.02,15.883,8.047,5.85,13.987,1.519,3.554,11.533
"hornet",0,"m",57.63,15.964,8.915,5.55,13.85,1.699,3.326,10.535
"yang",1,"m",53.28,15.185,7.761,5.15,13.446,1.409,3.169,11.186
"yang",1,"m",50.54,13.997,7.796,5.11,12.229,1.383,2.836,9.586
"yang",1,"m",57.62,15.881,8.269,5.85,13.946,1.539,3.165,11.643
"yang",1,"m",59.42,17.156,9.153,6.06,14.83,1.888,3.619,11.965
"yang",1,"f",45.68,11.742,6.816,4.52,10.291,1.085,2.426,8.085
"osprey",0,"m",54.81,15.928,8.01,5.58,14.191,1.414,3.42,10.935
"osprey",0,"f",47.88,12.355,7.041,4.46,11.264,0.819,2.697,8.7
"osprey",0,"m",55.59,16.586,8.002,5.6,14.767,1.527,3.618,11.72
"crescent",0,"f",46.08,11.993,6.954,4.62,10.384,1.238,2.286,8.667
"crescent",0,"m",52.26,14.762,8.112,5.36,12.838,1.497,3.099,10.036
"crescent",0,"m",57.48,17.097,8.963,5.89,15.105,1.521,3.734,11.819
"crescent",0,"f",49.25,12.546,6.968,4.81,10.947,1.235,2.651,9.035
"crescent",0,"m",57.6,16.384,8.596,5.6,14.274,1.713,3.389,11.838
"crescent",0,"f",47.96,12.265,6.751,4.6,10.717,1.224,2.496,8.467
"crescent",0,"m",58.23,17.178,9.174,6.14,15.003,1.776,3.634,12.22
"crescent",0,"m",58.11,17.196,9.086,6.08,15.235,1.559,3.169,12.11
